CpuName,GpuName,GameName,CpuNumberOfCores,CpuNumberOfThreads,CpuFrequency,CpuTurboClock,CpuCacheL3,CpuTDP,GpuMemorySize,GpuBandwidth,GpuMemoryBus,GpuNumberOfShadingUnits,GpuBaseClock,GpuBoostClock,GpuNumberOfROPs,GpuFP32Performance,GameSetting,GameSetting_Normalized,GameSetting_Ordinal,GameResolution,FPS,y_true,y_pred,abs_error,pct_error
Intel Core i3-7100,NVIDIA GeForce GTX TITAN X,rainbowSixSiege,2.0,4.0,3900.0,3900.0,3.0,51.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,95.0,95.0,92.80904574269793,2.1909542573020673,2.306267639265334
Intel Core i7-9700K,NVIDIA GeForce GTX 1660 Ti,dota2,8.0,8.0,3600.0,4900.0,12.0,95.0,6000.0,288000.0,192.0,1536.0,1500.0,1770.0,48.0,5437000.0,med,medium,2,1080.0,204.9,204.9,207.09047352737036,2.190473527370358,1.0690451573305797
Intel Core i9-9900K,NVIDIA GeForce GTX 1070 Ti,radicalHeights,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,med,medium,2,1080.0,124.2,124.2,126.38911957113928,2.1891195711392726,1.762576144234519
AMD Ryzen 5 1600X,NVIDIA GeForce GTX 1070 Ti,apexLegends,6.0,12.0,3600.0,4000.0,16.0,95.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,med,medium,2,1080.0,111.5,111.5,109.31179006206467,2.1882099379353264,1.9625201237088128
AMD Ryzen 5 3600,NVIDIA GeForce GTX TITAN X,leagueOfLegends,6.0,12.0,3600.0,4200.0,32.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,max,ultra,4,1080.0,241.5,241.5,239.31197076559562,2.1880292344043824,0.9060162461301791
Intel Core i3-7100,NVIDIA GeForce GTX 1060 5 GB,overwatch,2.0,4.0,3900.0,3900.0,3.0,51.0,5000.0,160200.0,160.0,1280.0,1506.0,1709.0,40.0,4375000.0,max,ultra,4,1080.0,83.4,83.4,85.58780395737713,2.1878039573771275,2.6232661359437977
Intel Core i7-9700K,NVIDIA GeForce GTX 1070 GDDR5X,worldOfTanks,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,86.6,86.6,84.41364560374383,2.1863543962561636,2.5246586561849464
AMD Ryzen 5 3600,NVIDIA GeForce GTX 1080 Ti,battletech,6.0,12.0,3600.0,4200.0,32.0,65.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,111.6,111.6,113.78520377421907,2.185203774219076,1.958067898045767
Intel Core i7-8700K,NVIDIA GeForce GTX 980 Ti,worldOfTanks,6.0,12.0,3700.0,4700.0,12.0,95.0,6000.0,336600.0,384.0,2816.0,1000.0,1076.0,96.0,6060000.0,max,ultra,4,1080.0,59.7,59.7,57.516890245562045,2.1831097544379574,3.6568002586900454
AMD Ryzen 7 1700X,NVIDIA GeForce GTX 1070 Ti,seaOfThieves,8.0,16.0,3400.0,3800.0,16.0,95.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,max,ultra,4,1080.0,106.8,106.8,104.61734835104718,2.182651648952813,2.043681319244207
AMD Ryzen 5 2600X,AMD Radeon RX 5700,pathOfExile,6.0,12.0,3600.0,4250.0,16.0,95.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,max,ultra,4,1080.0,146.4,146.4,148.58199812278633,2.181998122786325,1.4904358762201675
AMD Ryzen 7 1700X,AMD Radeon RX 5700,worldOfTanks,8.0,16.0,3400.0,3800.0,16.0,95.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,max,ultra,4,1080.0,58.3,58.3,56.118025271435606,2.1819747285643913,3.7426667728377208
AMD Ryzen 7 3800X,NVIDIA GeForce GTX 970,battlefield4,8.0,16.0,3900.0,4500.0,32.0,105.0,4000.0,224400.0,256.0,1664.0,1050.0,1178.0,56.0,3920000.0,med,medium,2,1080.0,66.8,66.8,64.61974969812633,2.18025030187367,3.2638477572959137
AMD Ryzen 5 2600X,AMD Radeon RX 5700,callOfDutyWW2,6.0,12.0,3600.0,4250.0,16.0,95.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,med,medium,2,1080.0,167.1,167.1,169.28004234741448,2.180042347414485,1.3046333617082497
Intel Core i5-9400F,NVIDIA GeForce GTX 1660,apexLegends,6.0,6.0,2900.0,4100.0,9.0,65.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,81.7,81.7,79.52049405253864,2.179505947461365,2.667693938141206
Intel Core i7-8700K,NVIDIA GeForce RTX 2060,battletech,6.0,12.0,3700.0,4700.0,12.0,95.0,6000.0,336000.0,192.0,1920.0,1365.0,1680.0,48.0,6451000.0,max,ultra,4,1080.0,82.7,82.7,84.87683207481089,2.176832074810889,2.632203234354159
Intel Core i9-9900K,NVIDIA GeForce GTX 1060 6 GB GDDR5X,destiny2,8.0,16.0,3600.0,5000.0,16.0,95.0,6000.0,192200.0,192.0,1280.0,1506.0,1709.0,48.0,4375000.0,max,ultra,4,1080.0,107.6,107.6,109.7763723694687,2.1763723694687087,2.022650900993224
Intel Core i5-7500,NVIDIA GeForce RTX 2070,radicalHeights,4.0,4.0,3400.0,3800.0,6.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,105.9,105.9,108.07609526284472,2.1760952628447114,2.05485860514137
AMD Ryzen 7 1700X,NVIDIA GeForce GTX 1050 Ti,aWayOut,8.0,16.0,3400.0,3800.0,16.0,95.0,4000.0,112100.0,128.0,768.0,1291.0,1392.0,32.0,2138000.0,med,medium,2,1080.0,91.0,91.0,88.82585449615195,2.1741455038480524,2.389170883349508
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2080 Ti,dota2,6.0,12.0,3600.0,4000.0,16.0,95.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,208.6,208.6,206.42624256536493,2.173757434635064,1.0420697193840192
AMD Ryzen 7 3700X,NVIDIA GeForce RTX 2070,battlefield4,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,med,medium,2,1080.0,87.5,87.5,89.67158466264168,2.1715846626416777,2.4818110430190603
Intel Core i5-8600K,AMD Radeon Pro Vega 64,pathOfExile,6.0,6.0,3600.0,4300.0,9.0,95.0,16000.0,402400.0,2048.0,4096.0,1250.0,1350.0,64.0,11060000.0,max,ultra,4,1080.0,143.0,143.0,145.17151793095266,2.1715179309526604,1.5185440076592032
AMD Ryzen 5 3600,NVIDIA GeForce GTX TITAN X,rainbowSixSiege,6.0,12.0,3600.0,4200.0,32.0,65.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,max,ultra,4,1080.0,106.3,106.3,108.47082085578876,2.1708208557887616,2.0421644927457776
AMD Ryzen 7 3800X,NVIDIA GeForce GTX 1080 11Gbps,counterStrikeGlobalOffensive,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,352300.0,256.0,2560.0,1607.0,1733.0,64.0,8873000.0,med,medium,2,1080.0,328.1,328.1,325.92986196270414,2.170138037295885,0.6614257961889317
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2070 SUPER,grandTheftAuto5,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,116.1,116.1,118.26982068366921,2.169820683669215,1.868923930808971
AMD Ryzen 5 2600,NVIDIA GeForce GTX 1070 Ti,fortnite,6.0,12.0,3400.0,3900.0,16.0,65.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,max,ultra,4,1080.0,107.7,107.7,105.53027513301986,2.1697248669801468,2.0146006192944723
Intel Core i7-9700K,NVIDIA GeForce GTX 1660 Ti,frostpunk,8.0,8.0,3600.0,4900.0,12.0,95.0,6000.0,288000.0,192.0,1536.0,1500.0,1770.0,48.0,5437000.0,med,medium,2,1080.0,162.8,162.8,160.63029083518768,2.169709164812332,1.332745187231162
AMD Ryzen 5 2600X,AMD Radeon Pro Vega 64,seaOfThieves,6.0,12.0,3600.0,4250.0,16.0,95.0,16000.0,402400.0,2048.0,4096.0,1250.0,1350.0,64.0,11060000.0,max,ultra,4,1080.0,119.9,119.9,117.73036462360504,2.1696353763949645,1.8095374281859584
AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1070 GDDR5X,aWayOut,6.0,12.0,3800.0,4400.0,32.0,95.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,med,medium,2,1080.0,159.4,159.4,161.56958213747134,2.1695821374713375,1.3610929344236748
AMD Ryzen 9 3900X,NVIDIA GeForce GTX 1660,aWayOut,12.0,24.0,3800.0,4600.0,64.0,105.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,med,medium,2,1080.0,159.8,159.8,157.6327451660336,2.1672548339664104,1.3562295581767274
AMD Ryzen 5 2600,AMD Radeon RX 590,pathOfExile,6.0,12.0,3400.0,3900.0,16.0,65.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,max,ultra,4,1080.0,114.3,114.3,116.46701390843333,2.167013908433333,1.8959001823563717
AMD Ryzen 5 1600X,NVIDIA GeForce RTX 2060,frostpunk,6.0,12.0,3600.0,4000.0,16.0,95.0,6000.0,336000.0,192.0,1920.0,1365.0,1680.0,48.0,6451000.0,max,ultra,4,1080.0,113.2,113.2,111.03323642528659,2.166763574713414,1.9141020978033694
AMD Ryzen 9 3900X,AMD Radeon RX 5700 XT,battlefield4,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1905.0,64.0,9754000.0,med,medium,2,1080.0,88.0,88.0,90.16221349543852,2.1622134954385217,2.4570607902710475
Intel Core i7-7700K,AMD Radeon RX 5700,totalWar3Kingdoms,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,max,ultra,4,1080.0,73.4,73.4,75.56208515244825,2.162085152448242,2.9456200987033268
Intel Core i7-7700K,NVIDIA GeForce GTX 1050 Ti,rainbowSixSiege,4.0,8.0,4200.0,4500.0,8.0,91.0,4000.0,112100.0,128.0,768.0,1291.0,1392.0,32.0,2138000.0,med,medium,2,1080.0,75.0,75.0,77.15926233704491,2.1592623370449076,2.87901644939321
Intel Core i5-8400,NVIDIA GeForce GTX 1060 5 GB,counterStrikeGlobalOffensive,6.0,6.0,2800.0,4000.0,9.0,65.0,5000.0,160200.0,160.0,1280.0,1506.0,1709.0,40.0,4375000.0,max,ultra,4,1080.0,164.6,164.6,162.44078147531388,2.1592185246861106,1.3117974026039556
AMD Ryzen 7 3700X,NVIDIA GeForce GTX 1060 6 GB GDDR5X,radicalHeights,8.0,16.0,3600.0,4400.0,32.0,65.0,6000.0,192200.0,192.0,1280.0,1506.0,1709.0,48.0,4375000.0,max,ultra,4,1080.0,77.2,77.2,75.04216034039732,2.1578396596026863,2.7951290927495935
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2070 SUPER,overwatch,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,max,ultra,4,1080.0,179.4,179.4,177.24223434967664,2.1577656503233698,1.2027679210275193
Intel Core i3-7100,AMD Radeon Pro Vega 64,seaOfThieves,2.0,4.0,3900.0,3900.0,3.0,51.0,16000.0,402400.0,2048.0,4096.0,1250.0,1350.0,64.0,11060000.0,max,ultra,4,1080.0,91.8,91.8,89.64402835654735,2.155971643452645,2.3485529885105065
AMD Ryzen 7 3800X,NVIDIA GeForce RTX 2070 SUPER,playerUnknownsBattlegrounds,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,med,medium,2,1080.0,113.8,113.8,115.95426445496365,2.154264454963652,1.8930267618309773
Intel Core i5-8600K,NVIDIA GeForce GTX 1080 11Gbps,callOfDutyWW2,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,352300.0,256.0,2560.0,1607.0,1733.0,64.0,8873000.0,med,medium,2,1080.0,172.8,172.8,174.95272339237263,2.1527233923726214,1.2457890002156373
Intel Core i7-9700K,NVIDIA GeForce GTX 1070 GDDR5X,battletech,8.0,8.0,3600.0,4900.0,12.0,95.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,max,ultra,4,1080.0,79.7,79.7,81.85219229712744,2.152192297127442,2.700366746709463
AMD Ryzen 7 3800X,NVIDIA GeForce GTX TITAN X,battlefield4,8.0,16.0,3900.0,4500.0,32.0,105.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,med,medium,2,1080.0,91.3,91.3,93.45125098211618,2.1512509821161814,2.3562442301382056
Intel Core i7-7700K,NVIDIA GeForce RTX 2070,dota2,4.0,8.0,4200.0,4500.0,8.0,91.0,8000.0,448000.0,256.0,2304.0,1410.0,1620.0,64.0,7465000.0,max,ultra,4,1080.0,166.5,166.5,168.65086623827915,2.15086623827915,1.291811554522012
Intel Core i3-7100,NVIDIA GeForce GTX 1070 Ti,battlefield4,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,max,ultra,4,1080.0,46.0,46.0,48.15084762625603,2.1508476262560308,4.675755709252241
Intel Core i9-9900K,NVIDIA GeForce GTX 1060 6 GB GDDR5X,counterStrikeGlobalOffensive,8.0,16.0,3600.0,5000.0,16.0,95.0,6000.0,192200.0,192.0,1280.0,1506.0,1709.0,48.0,4375000.0,med,medium,2,1080.0,298.4,298.4,296.24919129184065,2.1508087081593317,0.7207803981767198
Intel Core i7-8700K,NVIDIA GeForce GTX 1660 SUPER,apexLegends,6.0,12.0,3700.0,4700.0,12.0,95.0,6000.0,336000.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,87.6,87.6,85.45045946400951,2.1495405359904822,2.453813397249409
Intel Core i5-9400F,NVIDIA GeForce RTX 2080 Ti,grandTheftAuto5,6.0,6.0,2900.0,4100.0,9.0,65.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,max,ultra,4,1080.0,115.8,115.8,113.65081091071794,2.1491890892820606,1.855949127186581
Intel Core i9-9900K,NVIDIA GeForce GTX 1660,frostpunk,8.0,16.0,3600.0,5000.0,16.0,95.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,med,medium,2,1080.0,160.1,160.1,157.95335116860068,2.146648831399318,1.3408175086816478
Intel Core i3-7100,NVIDIA GeForce GTX 1070 Ti,warframe,2.0,4.0,3900.0,3900.0,3.0,51.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,max,ultra,4,1080.0,117.8,117.8,119.94497815905031,2.1449781590503108,1.8208643115877003
Intel Core i5-9400F,AMD Radeon Pro Vega 64,seaOfThieves,6.0,6.0,2900.0,4100.0,9.0,65.0,16000.0,402400.0,2048.0,4096.0,1250.0,1350.0,64.0,11060000.0,max,ultra,4,1080.0,121.2,121.2,119.05586050934086,2.1441394906591427,1.769091988992692
Intel Core i5-7600K,NVIDIA GeForce GTX TITAN X,rainbowSixSiege,4.0,4.0,3800.0,4200.0,6.0,91.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,max,ultra,4,1080.0,99.9,99.9,102.04256730261105,2.1425673026110417,2.1447120146256675
Intel Core i5-8600K,NVIDIA GeForce GTX 1070 Ti,overwatch,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,med,medium,2,1080.0,186.4,186.4,188.54239894472175,2.142398944721748,1.1493556570395642
Intel Core i7-8700K,AMD Radeon RX 5700,counterStrikeGlobalOffensive,6.0,12.0,3700.0,4700.0,12.0,95.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,med,medium,2,1080.0,308.2,308.2,310.34229578799096,2.1422957879909745,0.695099217388376
AMD Ryzen 9 3900X,NVIDIA GeForce GTX 1080 Ti,rainbowSixSiege,12.0,24.0,3800.0,4600.0,64.0,105.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,136.6,136.6,138.7422255497004,2.142225549700413,1.5682471081262175
AMD Ryzen 9 3900X,NVIDIA GeForce GTX 1660 Ti,farCry5,12.0,24.0,3800.0,4600.0,64.0,105.0,6000.0,288000.0,192.0,1536.0,1500.0,1770.0,48.0,5437000.0,max,ultra,4,1080.0,96.2,96.2,98.34118562342864,2.1411856234286404,2.225764681318753
Intel Core i5-8400,AMD Radeon RX 5700,radicalHeights,6.0,6.0,2800.0,4000.0,9.0,65.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,max,ultra,4,1080.0,85.6,85.6,87.74111765170518,2.141117651705187,2.5013056678798917
Intel Core i7-8700K,NVIDIA GeForce GTX TITAN X,worldOfTanks,6.0,12.0,3700.0,4700.0,12.0,95.0,12000.0,336600.0,384.0,3072.0,1000.0,1089.0,96.0,6691000.0,max,ultra,4,1080.0,76.7,76.7,78.8410809059645,2.1410809059645004,2.791500529288788
Intel Core i7-8700K,AMD Radeon RX 580,totalWar3Kingdoms,6.0,12.0,3700.0,4700.0,12.0,95.0,8000.0,256000.0,256.0,2304.0,1257.0,1340.0,32.0,6175000.0,max,ultra,4,1080.0,45.5,45.5,43.35901661300047,2.1409833869995296,4.70545799340556
AMD Ryzen 7 3800X,NVIDIA GeForce GTX 1660,fortnite,8.0,16.0,3900.0,4500.0,32.0,105.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,110.9,110.9,113.04012494444137,2.140124944441368,1.9297790301545246
Intel Core i5-8600K,NVIDIA GeForce GTX 1070 GDDR5X,playerUnknownsBattlegrounds,6.0,6.0,3600.0,4300.0,9.0,95.0,8000.0,256300.0,256.0,1920.0,1506.0,1683.0,64.0,6463000.0,max,ultra,4,1080.0,69.3,69.3,67.1600213305837,2.139978669416294,3.0879923079600204
Intel Core i5-8600K,NVIDIA GeForce GTX 1660 Ti,leagueOfLegends,6.0,6.0,3600.0,4300.0,9.0,95.0,6000.0,288000.0,192.0,1536.0,1500.0,1770.0,48.0,5437000.0,max,ultra,4,1080.0,184.7,184.7,182.56146554937953,2.1385344506204547,1.1578421497674363
Intel Core i5-8600K,NVIDIA GeForce GTX 1080 Ti,seaOfThieves,6.0,6.0,3600.0,4300.0,9.0,95.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,max,ultra,4,1080.0,139.6,139.6,137.46182859176605,2.1381714082339442,1.5316414099097022
AMD Ryzen 7 1700X,NVIDIA GeForce GTX 1660,counterStrikeGlobalOffensive,8.0,16.0,3400.0,3800.0,16.0,95.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,med,medium,2,1080.0,238.1,238.1,235.96254682594358,2.137453174056418,0.8977123788561185
Intel Core i7-9700K,NVIDIA GeForce RTX 2060,dota2,8.0,8.0,3600.0,4900.0,12.0,95.0,6000.0,336000.0,192.0,1920.0,1365.0,1680.0,48.0,6451000.0,max,ultra,4,1080.0,171.6,171.6,169.46286782236265,2.1371321776373406,1.2454150219331823
AMD Ryzen 5 2600,NVIDIA GeForce GTX 1070 Ti,battlefield4,6.0,12.0,3400.0,3900.0,16.0,65.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,med,medium,2,1080.0,72.1,72.1,69.96291977450957,2.137080225490422,2.9640502433986438
Intel Core i9-9900K,AMD Radeon RX 590,pathOfExile,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,190.0,190.0,187.86385779176805,2.136142208231945,1.1242853727536553
Intel Core i5-7600K,NVIDIA GeForce GTX 1070 Ti,destiny2,4.0,4.0,3800.0,4200.0,6.0,91.0,8000.0,256300.0,256.0,2432.0,1607.0,1683.0,64.0,8186000.0,max,ultra,4,1080.0,105.9,105.9,108.03563258862394,2.1356325886239347,2.0166502253294945
Intel Core i5-7600K,NVIDIA GeForce GTX 1080 Ti,starcraft2,4.0,4.0,3800.0,4200.0,6.0,91.0,11000.0,484400.0,352.0,3584.0,1481.0,1582.0,88.0,11340000.0,med,medium,2,1080.0,184.3,184.3,182.16707690102805,2.1329230989719576,1.1573104172392608
AMD Ryzen 7 3700X,NVIDIA GeForce GTX 1660 SUPER,apexLegends,8.0,16.0,3600.0,4400.0,32.0,65.0,6000.0,336000.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,88.5,88.5,86.36810422321929,2.131895776780709,2.4089217816731177
AMD Ryzen 7 3700X,AMD Radeon RX 590,frostpunk,8.0,16.0,3600.0,4400.0,32.0,65.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,max,ultra,4,1080.0,109.2,109.2,107.06852526677419,2.131474733225815,1.9518999388514788
AMD Ryzen 5 2600,NVIDIA GeForce GTX 980,totalWar3Kingdoms,6.0,12.0,3400.0,3900.0,16.0,65.0,4000.0,224400.0,256.0,2048.0,1127.0,1216.0,64.0,4981000.0,max,ultra,4,1080.0,49.3,49.3,51.430862560347364,2.130862560347367,4.322236430724883
Intel Core i7-7700K,NVIDIA GeForce RTX 2080 Ti,airMechStrike,4.0,8.0,4200.0,4500.0,8.0,91.0,11000.0,616000.0,352.0,4352.0,1350.0,1545.0,88.0,13450000.0,med,medium,2,1080.0,183.0,183.0,185.13063905039212,2.1306390503921193,1.1642836340940543
AMD Ryzen 5 3600,NVIDIA GeForce GTX 970,destiny2,6.0,12.0,3600.0,4200.0,32.0,65.0,4000.0,224400.0,256.0,1664.0,1050.0,1178.0,56.0,3920000.0,max,ultra,4,1080.0,81.1,81.1,83.23017530524417,2.1301753052441796,2.6266033356894942
AMD Ryzen 5 3600,AMD Radeon RX 570,seaOfThieves,6.0,12.0,3600.0,4200.0,32.0,65.0,4000.0,224000.0,256.0,2048.0,1168.0,1244.0,32.0,5095000.0,max,ultra,4,1080.0,69.0,69.0,71.13013642955792,2.130136429557922,3.087154245736119
AMD Ryzen 5 2600X,NVIDIA GeForce GTX 1060 6 GB GDDR5X,counterStrikeGlobalOffensive,6.0,12.0,3600.0,4250.0,16.0,95.0,6000.0,192200.0,192.0,1280.0,1506.0,1709.0,48.0,4375000.0,med,medium,2,1080.0,260.4,260.4,262.52925402452365,2.129254024523675,0.8176858773132394
Intel Core i9-9900K,AMD Radeon RX 590,frostpunk,8.0,16.0,3600.0,5000.0,16.0,95.0,8000.0,256000.0,256.0,2304.0,1469.0,1545.0,32.0,7119000.0,med,medium,2,1080.0,158.7,158.7,160.82800256066292,2.128002560662935,1.34089638353052
Intel Core i5-9400F,NVIDIA GeForce GTX 1660 Ti,starcraft2,6.0,6.0,2900.0,4100.0,9.0,65.0,6000.0,288000.0,192.0,1536.0,1500.0,1770.0,48.0,5437000.0,med,medium,2,1080.0,165.7,165.7,167.82656333004678,2.1265633300467925,1.283381611374045
Intel Core i5-9400F,NVIDIA GeForce GTX 980 Ti,seaOfThieves,6.0,6.0,2900.0,4100.0,9.0,65.0,6000.0,336600.0,384.0,2816.0,1000.0,1076.0,96.0,6060000.0,max,ultra,4,1080.0,108.5,108.5,110.62519937370526,2.1251993737052572,1.9587091001891772
AMD Ryzen 5 3600X,NVIDIA GeForce GTX 1660 Ti,farCry5,6.0,12.0,3800.0,4400.0,32.0,95.0,6000.0,288000.0,192.0,1536.0,1500.0,1770.0,48.0,5437000.0,max,ultra,4,1080.0,93.5,93.5,95.62479997975255,2.1247999797525523,2.2725133473289327
Intel Core i9-9900K,NVIDIA GeForce GTX 1050 Ti,battlefield4,8.0,16.0,3600.0,5000.0,16.0,95.0,4000.0,112100.0,128.0,768.0,1291.0,1392.0,32.0,2138000.0,med,medium,2,1080.0,56.7,56.7,58.82456864483417,2.12456864483417,3.7470346469738445
Intel Core i5-9400F,AMD Radeon RX 5700 XT,aWayOut,6.0,6.0,2900.0,4100.0,9.0,65.0,8000.0,448000.0,256.0,2560.0,1605.0,1905.0,64.0,9754000.0,med,medium,2,1080.0,166.8,166.8,168.9240372460352,2.1240372460351864,1.2734036247213347
AMD Ryzen 5 3600,NVIDIA GeForce RTX 2060,apexLegends,6.0,12.0,3600.0,4200.0,32.0,65.0,6000.0,336000.0,192.0,1920.0,1365.0,1680.0,48.0,6451000.0,med,medium,2,1080.0,123.6,123.6,121.47818306023798,2.121816939762013,1.7166803719757386
AMD Ryzen 7 3800X,NVIDIA GeForce GTX 1660,grandTheftAuto5,8.0,16.0,3900.0,4500.0,32.0,105.0,6000.0,192100.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,med,medium,2,1080.0,98.0,98.0,95.87925730437547,2.1207426956245286,2.164023158800539
AMD Ryzen 7 3800X,AMD Radeon RX 5700,battlefield4,8.0,16.0,3900.0,4500.0,32.0,105.0,8000.0,448000.0,256.0,2304.0,1465.0,1725.0,64.0,7949000.0,max,ultra,4,1080.0,67.3,67.3,69.42046255742596,2.1204625574259666,3.150761600930114
Intel Core i3-7100,NVIDIA GeForce GTX 970,worldOfTanks,2.0,4.0,3900.0,3900.0,3.0,51.0,4000.0,224400.0,256.0,1664.0,1050.0,1178.0,56.0,3920000.0,max,ultra,4,1080.0,34.4,34.4,36.51978842410589,2.1197884241058915,6.162175651470616
AMD Ryzen 5 3600X,NVIDIA GeForce GTX 980 Ti,totalWar3Kingdoms,6.0,12.0,3800.0,4400.0,32.0,95.0,6000.0,336600.0,384.0,2816.0,1000.0,1076.0,96.0,6060000.0,max,ultra,4,1080.0,66.5,66.5,64.38024481560178,2.1197551843982154,3.187601781049948
Intel Core i5-8600K,NVIDIA GeForce GTX 980 Ti,leagueOfLegends,6.0,6.0,3600.0,4300.0,9.0,95.0,6000.0,336600.0,384.0,2816.0,1000.0,1076.0,96.0,6060000.0,max,ultra,4,1080.0,182.3,182.3,180.18063200682354,2.1193679931764677,1.1625715815559339
AMD Ryzen 9 3900X,NVIDIA GeForce RTX 2070 SUPER,frostpunk,12.0,24.0,3800.0,4600.0,64.0,105.0,8000.0,448000.0,256.0,2560.0,1605.0,1770.0,64.0,9062000.0,max,ultra,4,1080.0,148.0,148.0,145.88304634058406,2.116953659415941,1.4303740941999603
Intel Core i7-9700K,NVIDIA GeForce GTX 1660 SUPER,callOfDutyWW2,8.0,8.0,3600.0,4900.0,12.0,95.0,6000.0,336000.0,192.0,1408.0,1530.0,1785.0,48.0,5027000.0,max,ultra,4,1080.0,130.2,130.2,132.3117106155285,2.111710615528523,1.6218975541693725
AMD Ryzen 7 3700X,NVIDIA GeForce GTX 1050 3 GB,fortnite,8.0,16.0,3600.0,4400.0,32.0,65.0,3000.0,84100.0,96.0,768.0,1392.0,1518.0,24.0,2332000.0,med,medium,2,1080.0,92.8,92.8,90.68962064982982,2.1103793501701773,2.274115679062691
