CPU,CPU Cores,CPU Threads,CPU TDP (W),GPU,GPU Series,GPU VRAM (GB),GPU Bandwidth (GB/s),GPU TDP (W),Total System TDP (W),Bottleneck Score,RAM (GB),Resolution,Graphics Settings,Min FPS,Avg FPS,Max FPS
Intel i9-14900K,24,32,125,RTX 3080,RTX 3000,10,760,150,275,2.97,16,1920x1080,Low,86,112,138
Intel i3-12100F,4,8,58,Intel Arc A770,Intel Arc,16,560,200,258,8.12,16,2560x1440,Ultra,32,40,46
Intel i5-12400F,6,12,65,GTX 1070,GTX 1000,8,256,150,215,4.58,32,3840x2160,Medium,33,40,44
Ryzen 9 5900X,12,24,105,RTX 3060,RTX 3000,12,360,200,305,2.71,16,1920x1080,Ultra,34,42,53
Intel i5-12400F,6,12,65,RTX 2060,RTX 2000,6,336,250,315,5.0,16,2560x1440,Low,50,59,71
Intel i7-13700K,16,24,125,RX 7800 XT,RX 7000,16,624,200,325,3.54,8,2560x1440,High,40,54,67
Intel i9-12900K,16,24,125,RTX 2060,RTX 2000,6,336,250,375,2.5,16,3840x2160,High,26,33,37
Ryzen 9 5900X,12,24,105,RX 7800 XT,RX 7000,16,624,200,305,3.54,16,2560x1440,Low,64,88,99
Intel i9-14900K,24,32,125,RTX 2060,RTX 2000,6,336,300,425,1.88,8,2560x1440,Ultra,21,30,34
Intel i3-12100F,4,8,58,RTX 3090,RTX 3000,24,936,150,208,12.5,32,3840x2160,High,43,55,65
Ryzen 7 7800X3D,8,16,120,RX 7800 XT,RX 7000,16,624,300,420,5.31,32,3840x2160,High,38,45,51
Intel i9-14900K,24,32,125,RTX 3080,RTX 3000,10,760,300,425,2.97,8,1920x1080,Ultra,47,56,65
Ryzen 9 7950X3D,16,32,170,RTX 3070,RTX 3000,8,448,300,470,2.5,32,1920x1080,Low,80,100,110
Intel i7-12700F,12,20,65,RTX 2080 Ti,RTX 2000,11,616,250,315,4.25,32,3840x2160,Medium,41,58,72
Intel i7-12700F,12,20,65,RTX 3070,RTX 3000,8,448,150,215,4.0,8,3840x2160,Ultra,26,34,37
Ryzen 9 5900X,12,24,105,RX 6900 XT,RX 6000,16,512,250,355,3.75,32,3840x2160,Low,59,72,89
Ryzen 3 4100,4,8,65,RTX 2060,RTX 2000,6,336,300,365,7.5,32,3840x2160,Medium,26,36,44
Intel i5-12400F,6,12,65,GTX 1060,GTX 1000,6,192,250,315,3.75,16,2560x1440,Low,35,44,55
Ryzen 7 5800X,8,16,105,RX 6600,RX 6000,8,224,150,255,3.44,16,2560x1440,Ultra,23,28,35
Ryzen 7 5800X,8,16,105,GTX 1660,GTX 1000,6,192,120,225,3.12,32,1920x1080,Ultra,27,33,41
Ryzen 5 5600X,6,12,65,RX 6900 XT,RX 6000,16,512,150,215,7.5,32,3840x2160,Ultra,29,41,48
Ryzen 3 4100,4,8,65,RTX 3060 Ti,RTX 3000,8,448,120,185,8.75,8,3840x2160,Low,37,48,60
Intel i9-14900K,24,32,125,RTX 3070,RTX 3000,8,448,120,245,2.5,32,1920x1080,Low,75,96,118
Intel i9-14900K,24,32,125,RTX 2080,RTX 2000,8,448,150,275,2.5,8,2560x1440,Ultra,32,40,49
Ryzen 5 5600X,6,12,65,RTX 3080,RTX 3000,10,760,200,265,7.92,32,3840x2160,High,44,56,64
Intel i7-13700K,16,24,125,RX 7900 XTX,RX 7000,24,960,150,275,4.38,16,1920x1080,Ultra,55,71,86
Ryzen 9 5900X,12,24,105,RX 7700 XT,RX 7000,12,432,250,355,3.12,32,1920x1080,High,56,68,79
Ryzen 9 5900X,12,24,105,Intel Arc A750,Intel Arc,8,512,200,305,2.29,8,2560x1440,Ultra,22,30,37
Intel i7-13700K,16,24,125,RX 6900 XT,RX 6000,16,512,150,275,3.75,16,1920x1080,Ultra,45,63,72
Ryzen 5 7600X,6,12,105,GTX 1070,GTX 1000,8,256,250,355,4.58,8,2560x1440,High,27,34,37
Intel i5-12400F,6,12,65,GTX 1060,GTX 1000,6,192,120,185,3.75,16,1920x1080,Medium,35,42,48
Intel i9-13900K,24,32,125,RTX 3060 Ti,RTX 3000,8,448,300,425,2.19,32,3840x2160,Low,47,62,70
Intel i9-13900K,24,32,125,RX 6600 XT,RX 6000,8,256,200,325,1.88,16,1920x1080,High,38,49,57
Ryzen 7 5800X,8,16,105,RX 7800 XT,RX 7000,16,624,200,305,5.31,8,2560x1440,Ultra,36,45,56
Intel i9-13900K,24,32,125,RTX 4070 Super,RTX 4000,12,504,200,325,2.75,8,2560x1440,Ultra,32,44,49
Ryzen 9 5900X,12,24,105,RTX 4060,RTX 4000,8,272,300,405,2.92,16,1920x1080,Medium,52,67,76
Ryzen 5 7600X,6,12,105,RTX 3090,RTX 3000,24,936,300,405,8.33,16,2560x1440,Ultra,45,56,63
Ryzen 9 7950X3D,16,32,170,RTX 3060,RTX 3000,12,360,120,290,2.03,32,3840x2160,Low,40,48,62
Intel i3-12100F,4,8,58,RX 6700 XT,RX 6000,12,384,200,258,8.75,8,1920x1080,Medium,42,61,73
Intel i5-12400F,6,12,65,RX 7600,RX 7000,8,288,300,365,5.0,8,3840x2160,Ultra,14,19,20
Ryzen 3 4100,4,8,65,RTX 4060,RTX 4000,8,272,150,215,8.75,8,1920x1080,Ultra,27,38,42
Ryzen 3 4100,4,8,65,RTX 4080 Super,RTX 4000,16,742,150,215,13.5,8,2560x1440,Ultra,40,53,64
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,120,185,4.58,8,3840x2160,Low,26,35,42
Intel i9-12900K,16,24,125,GTX 1070,GTX 1000,8,256,120,245,2.29,32,2560x1440,Ultra,28,37,46
Intel i5-12400F,6,12,65,RTX 3080,RTX 3000,10,760,300,365,7.92,16,1920x1080,Ultra,43,61,78
Intel i5-12400F,6,12,65,RTX 3060,RTX 3000,12,360,250,315,5.42,8,2560x1440,Low,46,57,71
Intel i5-12600K,10,16,125,RTX 4070,RTX 4000,12,504,200,325,5.31,32,1920x1080,Medium,69,92,118
Ryzen 7 7800X3D,8,16,120,GTX 1650 Super,GTX 1000,4,192,150,270,2.5,32,3840x2160,Low,25,35,38
Intel i5-12600K,10,16,125,RTX 4080,RTX 4000,16,716,250,375,6.56,16,3840x2160,Ultra,31,43,55
Intel i9-14900K,24,32,125,RTX 4080 Super,RTX 4000,16,742,300,425,3.38,16,3840x2160,Ultra,35,45,52
Ryzen 5 5600X,6,12,65,RTX 3080 Ti,RTX 3000,12,912,150,215,8.17,8,3840x2160,Low,48,63,79
Ryzen 7 7800X3D,8,16,120,RTX 4070 Ti,RTX 4000,12,576,200,320,5.62,8,2560x1440,Low,54,73,85
Intel i7-12700F,12,20,65,GTX 1650 Super,GTX 1000,4,192,120,185,2.0,16,1920x1080,Medium,30,39,46
Intel i5-12600K,10,16,125,RTX 4080 Super,RTX 4000,16,742,200,325,6.75,32,3840x2160,Low,66,89,105
Ryzen 9 5900X,12,24,105,RX 6600,RX 6000,8,224,200,305,2.29,32,1920x1080,Medium,46,58,65
Ryzen 5 5600X,6,12,65,RTX 4090,RTX 4000,24,1012,120,185,10.0,8,2560x1440,Medium,61,83,96
Ryzen 7 5800X,8,16,105,RTX 3090,RTX 3000,24,936,120,225,6.25,32,1920x1080,Ultra,57,75,84
Ryzen 7 7800X3D,8,16,120,RTX 4080,RTX 4000,16,716,300,420,6.56,16,3840x2160,Ultra,35,47,59
Intel i7-13700K,16,24,125,RTX 4070,RTX 4000,12,504,200,325,3.54,16,2560x1440,Medium,59,70,90
Ryzen 9 7950X3D,16,32,170,RTX 3080 Ti,RTX 3000,12,912,300,470,3.06,16,2560x1440,Ultra,46,61,68
Intel i9-13900K,24,32,125,RTX 3060,RTX 3000,12,360,200,325,2.03,32,3840x2160,Low,42,52,62
Intel i5-12600K,10,16,125,RX 6700 XT,RX 6000,12,384,250,375,4.38,8,3840x2160,Ultra,20,28,34
Ryzen 7 7800X3D,8,16,120,GTX 1060,GTX 1000,6,192,250,370,2.81,32,2560x1440,Ultra,20,26,34
Intel i5-12400F,6,12,65,RTX 4070 Super,RTX 4000,12,504,300,365,7.33,8,3840x2160,Low,48,60,71
Intel i5-12400F,6,12,65,RX 6600 XT,RX 6000,8,256,300,365,5.0,8,2560x1440,Ultra,19,26,31
Intel i9-14900K,24,32,125,RX 6800 XT,RX 6000,16,512,200,325,2.66,16,2560x1440,Ultra,41,53,63
Intel i3-12100F,4,8,58,RX 7600,RX 7000,8,288,150,208,7.5,16,1920x1080,High,39,55,69
Ryzen 7 5800X,8,16,105,RTX 4070,RTX 4000,12,504,250,355,5.31,8,2560x1440,Ultra,31,42,47
Ryzen 5 7600X,6,12,105,GTX 1060,GTX 1000,6,192,150,255,3.75,32,2560x1440,Low,36,44,54
Intel i9-14900K,24,32,125,RX 7900 XTX,RX 7000,24,960,250,375,3.28,16,1920x1080,Medium,88,105,120
Intel i9-12900K,16,24,125,RTX 3060,RTX 3000,12,360,300,425,2.71,16,3840x2160,Ultra,19,24,27
Ryzen 9 5900X,12,24,105,RX 6600,RX 6000,8,224,300,405,2.29,8,1920x1080,Medium,35,44,55
Intel i7-12700F,12,20,65,RTX 3060,RTX 3000,12,360,300,365,3.25,8,2560x1440,High,29,39,49
Ryzen 5 7600X,6,12,105,RX 6600,RX 6000,8,224,150,255,4.58,32,3840x2160,Ultra,16,22,26
Ryzen 5 5600X,6,12,65,GTX 1070,GTX 1000,8,256,150,215,4.58,16,3840x2160,Medium,23,31,35
Ryzen 7 7800X3D,8,16,120,RX 6700 XT,RX 6000,12,384,150,270,4.38,32,3840x2160,Medium,34,46,56
Intel i9-12900K,16,24,125,RX 7700 XT,RX 7000,12,432,200,325,3.12,8,2560x1440,Medium,39,52,57
Intel i3-12100F,4,8,58,RX 7700 XT,RX 7000,12,432,250,308,9.38,16,1920x1080,Medium,61,79,94
Ryzen 9 5900X,12,24,105,RX 6800 XT,RX 6000,16,512,120,225,3.54,8,2560x1440,Medium,49,61,70
Ryzen 3 4100,4,8,65,RTX 3080,RTX 3000,10,760,250,315,11.88,8,3840x2160,High,37,47,58
Intel i7-12700F,12,20,65,GTX 1660,GTX 1000,6,192,300,365,2.5,32,2560x1440,High,28,41,50
Intel i9-13900K,24,32,125,RX 6800,RX 6000,16,512,120,245,2.5,16,1920x1080,Medium,58,83,95
Ryzen 9 7950X,16,32,170,GTX 1660,GTX 1000,6,192,250,420,1.56,32,1920x1080,Medium,39,52,65
Intel i9-12900K,16,24,125,GTX 1650 Super,GTX 1000,4,192,150,275,1.67,8,1920x1080,Medium,26,34,41
Ryzen 5 7600X,6,12,105,RTX 4060,RTX 4000,8,272,250,355,5.83,32,2560x1440,High,46,58,64
Intel i5-12400F,6,12,65,RTX 4090,RTX 4000,24,1012,150,215,10.0,32,3840x2160,Medium,62,85,105
Ryzen 7 7800X3D,8,16,120,RX 7700 XT,RX 7000,12,432,120,240,4.69,32,1920x1080,High,49,65,80
Ryzen 7 7800X3D,8,16,120,RX 7800 XT,RX 7000,16,624,200,320,5.31,32,3840x2160,High,40,54,68
Intel i3-12100F,4,8,58,GTX 1070,GTX 1000,8,256,300,358,6.88,32,3840x2160,Ultra,20,27,29
Ryzen 7 7800X3D,8,16,120,RTX 3070,RTX 3000,8,448,300,420,5.0,16,2560x1440,Medium,53,65,75
Intel i7-13700K,16,24,125,RX 7700 XT,RX 7000,12,432,120,245,3.12,8,2560x1440,Low,49,61,72
Intel i9-12900K,16,24,125,RX 6800 XT,RX 6000,16,512,200,325,3.54,16,2560x1440,Low,66,83,93
Intel i9-12900K,16,24,125,RTX 4090,RTX 4000,24,1012,120,245,5.0,16,1920x1080,High,77,97,119
Ryzen 7 7800X3D,8,16,120,RTX 4070,RTX 4000,12,504,250,370,5.31,16,3840x2160,Medium,45,56,61
Intel i5-12600K,10,16,125,GTX 1650 Super,GTX 1000,4,192,120,245,2.5,32,3840x2160,Medium,19,28,35
Ryzen 9 5900X,12,24,105,GTX 1650 Super,GTX 1000,4,192,200,305,1.67,8,2560x1440,Low,26,33,37
Ryzen 7 5800X,8,16,105,RTX 4070,RTX 4000,12,504,300,405,5.31,8,1920x1080,Ultra,41,51,56
Intel i3-12100F,4,8,58,Intel Arc A770,Intel Arc,16,560,300,358,8.12,32,2560x1440,High,37,46,59
Ryzen 9 7950X,16,32,170,RTX 3070,RTX 3000,8,448,250,420,2.5,8,1920x1080,Low,65,83,98
Ryzen 5 7600X,6,12,105,GTX 1650 Super,GTX 1000,4,192,300,405,3.33,32,1920x1080,High,23,30,37
Ryzen 5 5600X,6,12,65,RTX 2070,RTX 2000,8,448,200,265,5.83,8,3840x2160,High,25,32,40
Intel i5-12400F,6,12,65,RTX 3080 Ti,RTX 3000,12,912,120,185,8.17,8,2560x1440,Ultra,37,47,52
Ryzen 7 5800X,8,16,105,RTX 4070 Ti,RTX 4000,12,576,250,355,5.62,32,1920x1080,Ultra,50,65,74
Intel i5-12600K,10,16,125,RTX 2070,RTX 2000,8,448,250,375,4.38,8,3840x2160,Low,31,44,48
Ryzen 5 5600X,6,12,65,RX 7800 XT,RX 7000,16,624,150,215,7.08,32,2560x1440,Ultra,41,51,62
Ryzen 3 4100,4,8,65,GTX 1070,GTX 1000,8,256,200,265,6.88,32,2560x1440,Low,52,63,70
Ryzen 7 7800X3D,8,16,120,GTX 1060,GTX 1000,6,192,250,370,2.81,32,2560x1440,Ultra,23,33,37
Intel i7-12700F,12,20,65,RX 6900 XT,RX 6000,16,512,120,185,4.5,16,3840x2160,Low,56,71,80
Intel i7-13700K,16,24,125,RTX 2060,RTX 2000,6,336,150,275,2.5,16,1920x1080,Ultra,34,42,52
Ryzen 7 5800X,8,16,105,GTX 1650 Super,GTX 1000,4,192,250,355,2.5,32,3840x2160,High,21,26,28
Ryzen 3 4100,4,8,65,RX 7900 XTX,RX 7000,24,960,300,365,13.12,32,1920x1080,High,78,99,118
Ryzen 7 5800X,8,16,105,RTX 2080 Ti,RTX 2000,11,616,120,225,5.31,16,2560x1440,Medium,55,68,86
Intel i9-14900K,24,32,125,RX 7800 XT,RX 7000,16,624,150,275,2.66,8,1920x1080,Low,65,84,99
Intel i9-12900K,16,24,125,RTX 2080,RTX 2000,8,448,200,325,3.33,8,3840x2160,Ultra,21,29,36
Intel i5-12600K,10,16,125,RTX 4070 Super,RTX 4000,12,504,250,375,5.5,8,1920x1080,Low,67,87,96
Intel i5-12600K,10,16,125,RX 6900 XT,RX 6000,16,512,200,325,5.62,16,2560x1440,High,46,60,70
Ryzen 5 5600X,6,12,65,RTX 3080 Ti,RTX 3000,12,912,300,365,8.17,32,2560x1440,High,66,79,99
Intel i9-14900K,24,32,125,Intel Arc A750,Intel Arc,8,512,120,245,1.72,8,1920x1080,Ultra,22,30,37
Ryzen 5 7600X,6,12,105,RTX 2060,RTX 2000,6,336,150,255,5.0,32,3840x2160,Ultra,21,30,36
Ryzen 9 5900X,12,24,105,RX 7700 XT,RX 7000,12,432,300,405,3.12,32,1920x1080,Medium,52,76,86
Ryzen 9 5900X,12,24,105,RTX 4070 Super,RTX 4000,12,504,120,225,3.67,32,2560x1440,Low,64,89,112
Intel i5-12400F,6,12,65,RX 6800,RX 6000,16,512,250,315,6.67,8,3840x2160,Medium,34,42,53
Ryzen 5 7600X,6,12,105,RTX 4070 Ti,RTX 4000,12,576,300,405,7.5,8,2560x1440,High,37,51,64
Intel i7-12700F,12,20,65,Intel Arc A750,Intel Arc,8,512,150,215,2.75,16,1920x1080,Medium,41,54,65
Ryzen 9 7950X,16,32,170,RTX 4070,RTX 4000,12,504,300,470,2.66,8,2560x1440,High,39,48,56
Intel i5-12400F,6,12,65,RTX 3070,RTX 3000,8,448,120,185,6.67,8,2560x1440,Medium,50,60,70
Ryzen 5 5600X,6,12,65,RTX 3090,RTX 3000,24,936,120,185,8.33,16,1920x1080,Low,96,123,148
Ryzen 9 7950X,16,32,170,GTX 1080 Ti,GTX 1000,11,484,150,320,2.03,8,1920x1080,Low,50,62,71
Ryzen 7 7800X3D,8,16,120,RTX 4070 Super,RTX 4000,12,504,120,240,5.5,32,3840x2160,Low,60,72,80
Intel i9-13900K,24,32,125,RX 6800 XT,RX 6000,16,512,300,425,2.66,16,1920x1080,Low,82,98,108
Ryzen 9 5900X,12,24,105,RX 6600 XT,RX 6000,8,256,150,255,2.5,16,2560x1440,Low,45,63,72
Ryzen 3 4100,4,8,65,RTX 4090,RTX 4000,24,1012,250,315,15.0,8,2560x1440,Medium,69,88,107
Ryzen 9 5900X,12,24,105,RX 7600,RX 7000,8,288,300,405,2.5,16,1920x1080,Low,53,70,85
Intel i9-14900K,24,32,125,RTX 2070,RTX 2000,8,448,300,425,2.19,16,2560x1440,High,39,51,65
Ryzen 5 7600X,6,12,105,RX 6600,RX 6000,8,224,200,305,4.58,8,2560x1440,Medium,27,37,48
Intel i5-12400F,6,12,65,RX 7600,RX 7000,8,288,150,215,5.0,32,3840x2160,High,34,40,44
Ryzen 3 4100,4,8,65,RTX 2080 Ti,RTX 2000,11,616,150,215,10.62,16,1920x1080,Ultra,53,63,71
Ryzen 5 7600X,6,12,105,RTX 4080 Super,RTX 4000,16,742,300,405,9.0,32,3840x2160,Low,76,90,109
Intel i9-13900K,24,32,125,RX 7700 XT,RX 7000,12,432,150,275,2.34,8,3840x2160,High,25,35,40
Intel i3-12100F,4,8,58,RX 7900 XTX,RX 7000,24,960,150,208,13.12,16,2560x1440,Low,81,111,124
Ryzen 5 7600X,6,12,105,RTX 2080 Ti,RTX 2000,11,616,300,405,7.08,32,1920x1080,Medium,65,91,102
Ryzen 7 5800X,8,16,105,GTX 1060,GTX 1000,6,192,150,255,2.81,32,2560x1440,Ultra,17,23,25
Ryzen 9 5900X,12,24,105,RX 7700 XT,RX 7000,12,432,300,405,3.12,8,3840x2160,High,28,37,46
Ryzen 7 5800X,8,16,105,RTX 3080,RTX 3000,10,760,120,225,5.94,16,3840x2160,Medium,47,59,66
Ryzen 7 7800X3D,8,16,120,RTX 2080,RTX 2000,8,448,150,270,5.0,32,1920x1080,High,54,68,87
Ryzen 5 7600X,6,12,105,GTX 1060,GTX 1000,6,192,200,305,3.75,16,1920x1080,High,28,34,38
Ryzen 9 7950X,16,32,170,RTX 2060,RTX 2000,6,336,120,290,1.88,8,2560x1440,Medium,33,44,55
Intel i5-12400F,6,12,65,RX 6600,RX 6000,8,224,300,365,4.58,8,2560x1440,Ultra,23,31,36
Ryzen 7 7800X3D,8,16,120,GTX 1080 Ti,GTX 1000,11,484,120,240,4.06,8,2560x1440,Medium,37,46,50
Ryzen 5 7600X,6,12,105,RTX 3090,RTX 3000,24,936,300,405,8.33,16,1920x1080,Low,87,116,144
Intel i5-12600K,10,16,125,RTX 4080,RTX 4000,16,716,250,375,6.56,32,3840x2160,Ultra,38,45,50
Intel i9-12900K,16,24,125,RTX 2080 Ti,RTX 2000,11,616,300,425,3.54,8,1920x1080,High,48,65,78
Ryzen 3 4100,4,8,65,RTX 4060,RTX 4000,8,272,150,215,8.75,8,2560x1440,Medium,36,46,58
Intel i5-12400F,6,12,65,RTX 4070 Super,RTX 4000,12,504,150,215,7.33,8,1920x1080,Ultra,40,50,60
Intel i7-12700F,12,20,65,RTX 2070,RTX 2000,8,448,200,265,3.5,32,1920x1080,Medium,49,70,89
Ryzen 7 7800X3D,8,16,120,RX 7600,RX 7000,8,288,250,370,3.75,8,2560x1440,High,28,37,43
Ryzen 7 5800X,8,16,105,RTX 3060,RTX 3000,12,360,300,405,4.06,16,2560x1440,Low,48,65,82
Intel i5-12400F,6,12,65,Intel Arc A750,Intel Arc,8,512,300,365,4.58,8,3840x2160,Low,31,37,44
Intel i9-14900K,24,32,125,RTX 2080 Ti,RTX 2000,11,616,150,275,2.66,32,2560x1440,Ultra,45,55,66
Ryzen 9 7950X3D,16,32,170,RTX 4070,RTX 4000,12,504,300,470,2.66,32,1920x1080,Ultra,44,57,67
Intel i7-13700K,16,24,125,GTX 1660,GTX 1000,6,192,250,375,2.08,8,2560x1440,Medium,32,40,44
Intel i5-12600K,10,16,125,RX 6800,RX 6000,16,512,120,245,5.0,32,1920x1080,Medium,67,81,103
Intel i5-12600K,10,16,125,RX 6600,RX 6000,8,224,120,245,3.44,32,3840x2160,Ultra,18,24,28
Ryzen 9 5900X,12,24,105,GTX 1660,GTX 1000,6,192,120,225,2.08,8,2560x1440,Medium,28,37,47
Intel i7-12700F,12,20,65,GTX 1080 Ti,GTX 1000,11,484,250,315,3.25,16,2560x1440,High,35,44,53
Intel i5-12400F,6,12,65,RTX 3060,RTX 3000,12,360,250,315,5.42,8,2560x1440,Ultra,26,33,39
Ryzen 5 7600X,6,12,105,RTX 3080 Ti,RTX 3000,12,912,200,305,8.17,16,1920x1080,Ultra,50,72,90
Ryzen 5 5600X,6,12,65,RTX 4090,RTX 4000,24,1012,200,265,10.0,8,2560x1440,Low,84,100,119
Ryzen 3 4100,4,8,65,RX 6700 XT,RX 6000,12,384,250,315,8.75,8,3840x2160,Low,38,46,54
Ryzen 7 5800X,8,16,105,RTX 2080 Ti,RTX 2000,11,616,300,405,5.31,8,3840x2160,Medium,35,45,50
Intel i3-12100F,4,8,58,RTX 3060,RTX 3000,12,360,150,208,8.12,8,1920x1080,Medium,40,53,67
Ryzen 3 4100,4,8,65,RTX 4070 Super,RTX 4000,12,504,250,315,11.0,32,2560x1440,Ultra,46,59,67
Ryzen 9 7950X,16,32,170,RTX 3060,RTX 3000,12,360,120,290,2.03,16,2560x1440,High,35,43,53
Ryzen 5 5600X,6,12,65,RTX 2070,RTX 2000,8,448,150,215,5.83,8,2560x1440,Low,51,63,71
Intel i9-14900K,24,32,125,RTX 3070,RTX 3000,8,448,120,245,2.5,32,2560x1440,Ultra,36,44,55
Ryzen 9 7950X3D,16,32,170,GTX 1650 Super,GTX 1000,4,192,200,370,1.25,32,3840x2160,Medium,22,30,37
Ryzen 3 4100,4,8,65,RX 6800,RX 6000,16,512,300,365,10.0,16,2560x1440,High,42,55,67
Ryzen 7 7800X3D,8,16,120,GTX 1080 Ti,GTX 1000,11,484,120,240,4.06,32,1920x1080,High,46,59,67
Ryzen 9 7950X3D,16,32,170,GTX 1060,GTX 1000,6,192,200,370,1.41,32,2560x1440,High,23,32,38
Intel i9-13900K,24,32,125,Intel Arc A750,Intel Arc,8,512,200,325,1.72,8,3840x2160,Medium,26,32,39
Intel i7-13700K,16,24,125,RTX 2070,RTX 2000,8,448,120,245,2.92,16,3840x2160,Ultra,22,29,34
Intel i9-13900K,24,32,125,RTX 4080,RTX 4000,16,716,200,325,3.28,32,3840x2160,Medium,58,71,91
Ryzen 5 5600X,6,12,65,Intel Arc A770,Intel Arc,16,560,300,365,5.42,16,3840x2160,Medium,27,38,43
Intel i9-12900K,16,24,125,RTX 4080,RTX 4000,16,716,200,325,4.38,8,3840x2160,Low,54,68,78
Ryzen 7 5800X,8,16,105,RTX 3090,RTX 3000,24,936,300,405,6.25,16,3840x2160,High,44,58,73
Intel i5-12600K,10,16,125,RX 7600,RX 7000,8,288,150,275,3.75,32,1920x1080,Low,55,74,81
Intel i7-13700K,16,24,125,RTX 3060 Ti,RTX 3000,8,448,150,275,2.92,32,2560x1440,Ultra,40,47,52
Intel i5-12600K,10,16,125,RX 7700 XT,RX 7000,12,432,150,275,4.69,16,2560x1440,Medium,45,65,75
Intel i9-12900K,16,24,125,RX 7700 XT,RX 7000,12,432,250,375,3.12,32,1920x1080,Medium,59,78,91
Ryzen 7 7800X3D,8,16,120,RTX 2060,RTX 2000,6,336,300,420,3.75,32,1920x1080,Medium,42,61,70
Intel i9-13900K,24,32,125,RTX 2070,RTX 2000,8,448,200,325,2.19,32,3840x2160,Low,43,59,75
Intel i7-13700K,16,24,125,GTX 1080 Ti,GTX 1000,11,484,250,375,2.71,8,2560x1440,High,25,36,46
Ryzen 5 7600X,6,12,105,RX 6800,RX 6000,16,512,150,255,6.67,16,3840x2160,Medium,43,56,70
Ryzen 7 7800X3D,8,16,120,RTX 2070,RTX 2000,8,448,300,420,4.38,32,1920x1080,Medium,57,78,85
Intel i9-12900K,16,24,125,GTX 1660,GTX 1000,6,192,120,245,2.08,16,2560x1440,Low,39,54,65
Intel i5-12400F,6,12,65,GTX 1080 Ti,GTX 1000,11,484,300,365,5.42,8,3840x2160,Low,33,44,52
Ryzen 3 4100,4,8,65,RX 7600,RX 7000,8,288,120,185,7.5,8,3840x2160,Medium,26,34,39
Ryzen 3 4100,4,8,65,GTX 1650 Super,GTX 1000,4,192,120,185,5.0,32,2560x1440,Low,32,44,49
Ryzen 9 7950X3D,16,32,170,RTX 3060 Ti,RTX 3000,8,448,250,420,2.19,16,3840x2160,Medium,40,48,56
Ryzen 5 5600X,6,12,65,Intel Arc A770,Intel Arc,16,560,120,185,5.42,8,1920x1080,Ultra,31,40,45
Intel i5-12600K,10,16,125,GTX 1660,GTX 1000,6,192,120,245,3.12,8,3840x2160,Ultra,19,23,26
Ryzen 3 4100,4,8,65,RTX 3080,RTX 3000,10,760,120,185,11.88,16,2560x1440,High,48,68,77
Ryzen 5 5600X,6,12,65,RTX 4070 Super,RTX 4000,12,504,120,185,7.33,16,3840x2160,High,36,51,63
Intel i3-12100F,4,8,58,GTX 1650 Super,GTX 1000,4,192,120,178,5.0,16,3840x2160,Medium,18,24,29
Ryzen 7 5800X,8,16,105,RTX 4080,RTX 4000,16,716,250,355,6.56,16,1920x1080,Low,96,125,158
Ryzen 9 5900X,12,24,105,Intel Arc A770,Intel Arc,16,560,120,225,2.71,32,1920x1080,Medium,59,70,89
Ryzen 9 5900X,12,24,105,RX 7600,RX 7000,8,288,150,255,2.5,8,3840x2160,Ultra,19,24,29
Ryzen 9 7950X3D,16,32,170,RX 7700 XT,RX 7000,12,432,300,470,2.34,16,1920x1080,Ultra,34,47,54
Intel i9-14900K,24,32,125,RTX 4080,RTX 4000,16,716,250,375,3.28,16,3840x2160,Low,61,83,97
Intel i7-13700K,16,24,125,RTX 2080 Ti,RTX 2000,11,616,120,245,3.54,32,1920x1080,Medium,76,92,118
Ryzen 9 7950X3D,16,32,170,RTX 4070 Ti,RTX 4000,12,576,250,420,2.81,16,1920x1080,High,52,72,88
Intel i9-14900K,24,32,125,GTX 1070,GTX 1000,8,256,120,245,1.72,32,2560x1440,Ultra,27,34,40
Ryzen 9 7950X3D,16,32,170,RTX 2070,RTX 2000,8,448,300,470,2.19,16,1920x1080,Ultra,34,44,55
Ryzen 5 5600X,6,12,65,RX 7800 XT,RX 7000,16,624,120,185,7.08,32,3840x2160,Medium,49,59,68
Intel i9-14900K,24,32,125,RX 6900 XT,RX 6000,16,512,150,275,2.81,32,2560x1440,Ultra,46,58,64
Intel i3-12100F,4,8,58,RTX 4080,RTX 4000,16,716,150,208,13.12,32,2560x1440,High,64,80,88
Ryzen 9 7950X3D,16,32,170,GTX 1650 Super,GTX 1000,4,192,250,420,1.25,8,3840x2160,Ultra,8,13,14
Intel i9-13900K,24,32,125,RX 6900 XT,RX 6000,16,512,300,425,2.81,8,1920x1080,High,47,67,82
Intel i7-12700F,12,20,65,RX 6800 XT,RX 6000,16,512,250,315,4.25,16,2560x1440,Medium,54,67,81
Ryzen 9 7950X3D,16,32,170,RX 7800 XT,RX 7000,16,624,300,470,2.66,32,1920x1080,Medium,65,92,113
Ryzen 5 7600X,6,12,105,RX 7800 XT,RX 7000,16,624,200,305,7.08,32,2560x1440,Ultra,45,57,65
Ryzen 5 5600X,6,12,65,RX 6800 XT,RX 6000,16,512,300,365,7.08,16,1920x1080,Medium,71,86,103
Ryzen 5 7600X,6,12,105,RTX 3070,RTX 3000,8,448,150,255,6.67,32,1920x1080,Medium,68,86,110
Intel i9-12900K,16,24,125,RX 7800 XT,RX 7000,16,624,300,425,3.54,32,3840x2160,High,34,45,54
